Title,Company,Salary_Min,Salary_Max,Region,Skills_Req,Link,Salary_Text
Middle разработчик .net (C#),"ООО ""ЁСИМ""",100000,0,"Москва,","C#, ASP.NET, GIT, MVVM",https://www.rabota.ru/vacancy/47641370/,от 100 000 руб.
IOS developer,СБЕР,0,0,"Москва,","Наша команда совершенствует подходы по работе с цифровыми ассистентами за счет использования собственной большой языковой модели - GigaChat и фреймворков по работе с ней. Наши продукты и сервисы дают новые возможности для миллионов клиентов наших приложений (Сбербанк Онлайн, Инвестор, СберКидс и другие) и помогают им решать их потребности наиболее эффективно. Первый этап отбора на эту вакансию — общение с AI- рекрутером. После отклика вам на почту придёт приглашение пройти первичное интервью с Г",https://www.rabota.ru/vacancy/54270635/,по договоренности
PHP-разработчик,"ООО ""ЭД-АЙТИ""",300000,300000,"Москва,","PHP, laravel",https://www.rabota.ru/vacancy/53727798/,300 000 руб.
Web-программист,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ ХАДАВИ МОГАДДАМ МОРТЕЗА,80000,0,"Москва,","PHP, MySQL, CSS, HTML5, JavaScript, AJAX, SQL, CMS WordPress, laravel, GIT, React, Typescript",https://www.rabota.ru/vacancy/50080968/,от 80 000 руб.
PHP разработчик,"ООО ""Каунсил Девелопмент""",0,150000,"Москва,","Apache, Linux, Nginx, PHP, PostgreSQL, MySQL, JavaScript, laravel, Elasticsearch, Yii, REST",https://www.rabota.ru/vacancy/54250975/,до 150 000 руб.
Программист 1С (удаленно),"ООО ""АВЕНТА""",35000,55000,"Москва,",разработка нетиповых конфигураций 1С,https://www.rabota.ru/vacancy/50025853/,35 000 — 55 000 руб.
Разработчик,"ООО ""ЛДТ""",60000,200000,"Москва,",Python,https://www.rabota.ru/vacancy/53893400/,60 000 — 200 000 руб.
Frontend-разработчик,"ООО ""РОНИКС СИСТЕМС""",60000,100000,"Москва,","HTML, JavaScript, SCSS",https://www.rabota.ru/vacancy/53231865/,60 000 — 100 000 руб.
Разработчик 1С,ИНДИВИДУАЛЬНЫЙ ПРЕДПРИНИМАТЕЛЬ МЕНДУБАЕВ РУСЛАН ИЛЬСАРОВИЧ,100000,0,"Москва,",1С,https://www.rabota.ru/vacancy/50184198/,от 100 000 руб.
Web-программист,"ООО ""ЦЕНТР ИННОВАЦИОННЫХ ТЕХНОЛОГИЙ""",0,0,"Москва,","PHP, PostgreSQL, CSS, HTML5, разработка сайтов",https://www.rabota.ru/vacancy/54233949/,по договоренности
Python - разработчик,"ООО ""ДЖЕТКЕЙС""",0,0,"Москва,","Процесс и задачи: написание нового функционала участие в разработке крупного продукта на Python участие в дальнейшей поддержке и развитии продукта на Python; оценка, декомпозиция задач; участие в принятии и реализации архитектурных/технических решений большим плюсом будет, если есть опыт написания ботов Требования: Работа в офисе Опыт коммерческой разработки на Python 3 Опыт работы с SQL и NoSQL базами данных Понимание принципов ООП и асинхронного программирования Умение документировать код Умен",https://www.rabota.ru/vacancy/50499806/,по договоренности
