Date,Company,Title,Salary,Skills,Meta_Info,Link
2026-05-07T10:46:36+03:00,Not specified,DevOps-инженер,Not specified,,Not specified,https://career.habr.com/vacancies/1000163521
2026-05-07T10:43:26+03:00,Not specified,"Fullstack-разработчик (Go, Java, React)",Not specified,,Not specified,https://career.habr.com/vacancies/1000166326
2026-05-07T10:27:20+03:00,Not specified,Сценарист чат-бота,Not specified,,Not specified,https://career.habr.com/vacancies/1000166325
2026-05-07T10:27:02+03:00,Not specified,Сетевой инженер Huawei,Not specified,,Not specified,https://career.habr.com/vacancies/1000164871
2026-05-07T10:27:01+03:00,Not specified,Аналитик SOC (направление сетевой безопасности),Not specified,,Not specified,https://career.habr.com/vacancies/1000164870
2026-05-07T10:12:55+03:00,Not specified,Technical Training Developer (SIEM/XDR),Not specified,,Not specified,https://career.habr.com/vacancies/1000165597
2026-05-07T09:36:51+03:00,Not specified,Программист C++ (Qt),от 140 000 до 200 000 ₽,,Not specified,https://career.habr.com/vacancies/1000165990
2026-05-07T09:30:36+03:00,Not specified,Консультант SAP HR,Not specified,,Not specified,https://career.habr.com/vacancies/1000165636
2026-05-07T09:27:03+03:00,Not specified,Fullstack-разработчик (REACT+JAVA),Not specified,,Not specified,https://career.habr.com/vacancies/1000164868
2026-05-07T08:59:16+03:00,Not specified,Консультант SAP FI,Not specified,,Not specified,https://career.habr.com/vacancies/1000165635
2026-05-07T08:53:03+03:00,Not specified,Data Engineer,Not specified,,Not specified,https://career.habr.com/vacancies/1000165982
2026-05-07T05:07:51+03:00,Not specified,"Scrum-мастер (только офис, Владивосток)",Not specified,,Not specified,https://career.habr.com/vacancies/1000165668
2026-05-07T00:29:33+03:00,Not specified,Unity-разработчик (WebGL),Not specified,,Not specified,https://career.habr.com/vacancies/1000166387
2026-05-06T21:27:04+03:00,Not specified,Software Architect,Not specified,,Not specified,https://career.habr.com/vacancies/1000166386
2026-05-06T18:46:38+03:00,Not specified,Разработчик NET/C# с опытом OpenText xECM,Not specified,,Not specified,https://career.habr.com/vacancies/1000166321
2026-05-06T18:31:11+03:00,Not specified,Frontend-разработчик (React),Not specified,,Not specified,https://career.habr.com/vacancies/1000158010
2026-05-06T18:28:11+03:00,Not specified,Scala Developer,Not specified,,Not specified,https://career.habr.com/vacancies/1000164770
2026-05-06T18:26:33+03:00,Not specified,Аналитик 1С,Not specified,,Not specified,https://career.habr.com/vacancies/1000162686
2026-05-06T18:25:55+03:00,Not specified,Product Manager,Not specified,,Not specified,https://career.habr.com/vacancies/1000163309
2026-05-06T18:24:23+03:00,Not specified,Старший разработчик Golang,Not specified,,Not specified,https://career.habr.com/vacancies/1000161584
